time,liquidity_type,liquidity_strength,sweep_direction,sweep_size,bos_strength,fvg_rejected,retracement_depth,time_since_sweep,ny_session,london_session,asian_session,suggested_tp,suggested_sl,max_favorable_excursion,max_adverse_excursion,time_to_target,label
1751291100000,3,0.98104167,1,0.0005807710008985513,0.0,1.0,0.7138047,1,1,1,0,22901.5,22801.25,0.3176470588235294,1.2823529411764707,4,0
1751292060000,3,0.97729164,1,0.00019732298483901732,1.0,0.0,0.15384616,10,1,1,0,22901.5,22795.0,0.8766233766233766,1.2597402597402598,236,0
1751306340000,2,1.288125,1,0.0012164250254791727,0.0,1.0,0.12195122,2,1,0,0,22901.5,22785.0,0.5416666666666666,1.1388888888888888,43,0
1751308980000,2,1.27875,1,0.00035106196243637,0.0,1.0,0.2236842,1,1,0,0,22901.5,22780.0,7.813559322033898,0.1016949152542373,67,1
1751313300000,3,1.3520833,-1,0.00014182385477237272,0.0,1.0,0.64215684,0,1,0,0,22803.75,22934.0,6.506849315068493,0.4794520547945205,915,1
1751373300000,2,1.0604167,1,0.00010984906738141793,0.0,1.0,0.2777778,9,1,1,0,22848.25,22756.0,1.2820512820512822,1.1923076923076923,113,0
1751380980000,3,1.2689583,1,0.00037428033597164276,0.0,1.0,0.81345564,1,1,1,0,22848.25,22701.75,0.39344262295081966,1.1475409836065573,2,0
1751381220000,3,1.265625,1,0.00038561544224582434,0.0,1.0,0.17886178,1,1,1,0,22848.25,22682.25,0.48514851485148514,1.316831683168317,11,0
1751382240000,3,1.2629167,1,0.00033043286705584316,1.0,0.0,0.0,3,1,1,0,22848.25,22670.25,0.06779661016949153,1.2994350282485876,3,0
1751383500000,3,1.2610416,1,0.00047556902386692917,0.0,1.0,0.15777262,11,1,1,0,22848.25,22593.75,1.0633608815426998,1.0495867768595042,1217,0
1751425320000,2,1.49125,-1,0.0002088922116188047,0.0,1.0,0.754717,2,0,0,1,22671.0,22744.5,0.34615384615384615,1.1538461538461537,5,0
1751441400000,2,0.99541664,1,7.697806125254303e-05,0.0,1.0,0.64634144,1,0,1,0,22848.25,22732.0,1.0689655172413792,1.3793103448275863,13,0
1751442780000,2,0.99104166,1,8.802429470533867e-05,0.0,1.0,0.6853933,1,0,1,0,22848.25,22717.75,0.4642857142857143,1.1785714285714286,7,0
1751457420000,2,1.3395833,1,0.00015458510462099044,0.0,1.0,0.07,3,0,1,0,22718.75,22637.75,1.064516129032258,1.6559139784946237,27,0
1751460300000,3,0.79125,1,0.00030980990949124786,0.0,1.0,0.03773585,2,1,1,0,22718.75,22584.75,4.372549019607843,0.6274509803921569,60,1
1751464800000,2,0.965625,-1,0.00014301115487007986,0.0,1.0,0.7394366,6,1,1,0,22593.75,22728.75,0.2702702702702703,1.0,1,0
1751464860000,2,0.96229166,-1,0.00037411560172093177,0.0,1.0,0.27659574,0,1,1,0,22593.75,22728.75,0.47058823529411764,1.3529411764705883,1,0
1751464920000,2,0.96208334,-1,0.00023100785426704508,0.0,1.0,0.66129035,0,1,1,0,22593.75,22731.75,0.38095238095238093,2.0,1,0
1751465040000,2,0.96166664,-1,0.0,0.0,1.0,0.34615386,0,1,1,0,22593.75,22737.0,1.0,1.0,1,0
1751465580000,2,0.9614583,-1,0.00012083662887775728,0.0,1.0,0.8062016,1,1,1,0,22593.75,22760.75,0.36,1.44,2,0
1751467440000,2,0.959375,-1,0.00039462001381170047,1.0,0.0,0.3611111,3,1,1,0,22593.75,22816.75,0.024844720496894408,1.0993788819875776,3,0
1751467920000,2,0.9527083,-1,8.761266441064056e-05,0.0,1.0,0.68992245,1,1,1,0,22593.75,22832.25,2.125,1.475,9,0
1751475960000,2,1.1370833,-1,0.00022981210124864575,1.0,0.0,0.014084507,4,1,0,0,22593.75,22850.0,1.3714285714285714,1.5,118,0
1751483100000,2,1.1116667,-1,0.0005910294858043473,0.0,1.0,0.09090909,1,1,0,0,22808.5,22858.75,1.2625,1.2125,117,0
1751493720000,2,1.0495833,-1,0.0002843829982718264,0.0,1.0,0.4347826,0,0,0,0,22808.5,22863.0,3.923076923076923,2.3076923076923075,203,0
1751506020000,2,1.0072917,-1,0.00028427727968510823,0.0,1.0,0.06779661,2,0,0,1,22831.0,22871.5,2.1272727272727274,0.3090909090909091,63,1
1751510580000,2,1.46875,1,7.665772326561901e-05,1.0,0.0,0.01754386,12,0,0,1,22858.5,22827.0,1.3392857142857142,0.07142857142857142,32,1
1751512860000,2,0.984375,-1,0.00014211843932089251,0.0,1.0,0.3809524,2,0,0,1,22831.0,22871.5,0.15384615384615385,1.4615384615384615,3,0
1751513280000,2,0.9825,-1,0.00027328676526853157,0.0,1.0,0.6388889,4,0,0,1,22831.0,22876.0,1.0769230769230769,1.1538461538461537,5,0
1751513700000,2,0.980625,-1,4.371393600279769e-05,0.0,1.0,0.5,1,0,0,1,22831.0,22877.0,2.125,2.5,7,0
1751514840000,2,0.97875,-1,2.1851475520884548e-05,1.0,0.0,0.0,10,0,0,1,22831.0,22882.25,0.8260869565217391,1.0724637681159421,149,0
1751538300000,2,1.370625,1,0.000229897640812305,0.0,1.0,0.039215688,4,0,1,0,22901.5,22830.0,6.673469387755102,0.5918367346938775,125,1
1751546160000,3,1.14375,-1,0.000501674064541459,0.0,1.0,0.8341463,1,1,1,0,22831.0,22937.5,2.5,1.1176470588235294,52,0
1751549820000,3,1.2316667,-1,0.000565881687198015,0.0,1.0,0.75527424,6,1,1,0,22831.0,22986.0,2.7758620689655173,1.8793103448275863,14,0
1751552040000,3,1.226875,-1,6.504699645493869e-05,0.0,1.0,0.89215684,1,1,1,0,22831.0,23063.0,1.3181818181818181,1.6818181818181819,7,0
1751552520000,3,1.2204167,-1,8.672368749119212e-05,0.0,1.0,0.71428573,0,1,1,0,22831.0,23063.75,5.375,1.75,7,0
1751553180000,3,1.2189584,-1,0.00041207599548885224,1.0,0.0,0.05940594,3,1,1,0,22831.0,23069.5,0.4631578947368421,1.0,35,0
1751556420000,3,1.2108333,-1,0.00037926812088900447,1.0,0.0,0.097826086,2,1,1,0,22831.0,23079.5,0.012048192771084338,1.144578313253012,9,0
1751557800000,3,1.205,-1,0.00020565886606195745,0.0,1.0,0.6448598,9,1,1,0,22831.0,23101.25,28.07894736842105,0.2894736842105263,2441,1
1751580120000,2,0.9404167,1,0.0003581700765181527,0.0,1.0,0.2970297,1,0,0,0,23101.25,23025.5,0.028169014084507043,1.1971830985915493,2,0
1751581020000,2,0.9397917,1,0.00041246513041496164,0.0,1.0,0.32142857,13,0,0,0,23101.25,23022.0,0.6947368421052632,1.231578947368421,114,0
1751588220000,2,0.91333336,1,0.000293140512018761,0.0,1.0,0.22058824,6,0,0,1,23069.25,23016.5,1.509433962264151,1.490566037735849,113,0
1751595840000,2,0.99791664,1,7.610763794509377e-05,0.0,1.0,0.35897437,6,0,0,1,23069.25,22992.0,0.4666666666666667,1.2533333333333334,190,0
1751627100000,2,0.9895833,1,0.000556914475408404,0.0,1.0,0.36585367,10,0,1,0,22952.0,22881.25,3.951923076923077,0.7596153846153846,355,1
1751840400000,3,1.0,-1,0.0010324515834546917,0.0,1.0,0.6646884,19,0,0,0,22881.25,23027.25,4.663716814159292,0.23008849557522124,1080,1
1751850780000,1,1.0,1,0.00021815484630991077,0.0,1.0,0.7295082,1,0,0,1,23005.5,22914.5,8.242424242424242,1.7575757575757576,418,0
1751900340000,3,1.8139583,1,0.0001310802101652703,0.0,1.0,0.6048387,1,1,1,0,23005.5,22882.75,5.530612244897959,2.2653061224489797,81,0
1751905380000,3,1.7958333,1,0.0008635201014362854,0.0,1.0,0.40547946,1,1,0,0,23002.75,22833.25,0.7465437788018433,1.152073732718894,113,0
1751913060000,3,1.7716666,1,0.00026327336551118914,0.0,1.0,0.7316294,1,1,0,0,23002.75,22780.25,9.69047619047619,0.5357142857142857,2459,1
1751935620000,2,0.95395833,-1,0.00021833346069451875,0.0,1.0,0.46052632,5,0,0,1,22831.0,22905.75,0.4146341463414634,1.170731707317073,5,0
1751936520000,2,0.95166665,-1,0.00012004670908317054,1.0,1.0,0.24074075,7,0,0,1,22831.0,22914.0,0.5365853658536586,1.0975609756097562,13,0
1751942880000,2,0.99395835,-1,6.539794650447976e-05,0.0,1.0,0.84375,9,0,0,1,22831.0,22938.0,0.26666666666666666,1.1333333333333333,3,0
1751943900000,2,0.989375,-1,0.0001308172809628152,1.0,0.0,0.2195122,10,0,0,1,22885.5,22938.75,3.34375,1.5,187,0
1751984100000,2,1.3627083,1,0.00017490161783996502,1.0,0.0,0.30827066,9,1,1,0,23002.75,22866.0,0.29347826086956524,1.315217391304348,9,0
1752054240000,2,1.3160417,-1,7.62851320277678e-05,0.0,1.0,0.25,1,0,1,0,22841.0,22942.5,6.222222222222222,2.9444444444444446,106,0
1752061020000,2,1.29375,-1,0.0003050873312485699,0.0,1.0,0.4918033,7,0,1,0,22841.0,22951.25,1.7419354838709677,1.2903225806451613,70,0
1752065400000,2,1.2777083,-1,5.445614646525153e-05,0.0,1.0,0.5692308,1,1,1,0,22910.0,22955.5,3.142857142857143,1.5,20,0
1752070740000,2,1.2729167,-1,0.0002705042198658299,1.0,0.0,0.784252,17,1,1,0,22926.5,23111.25,4.554744525547445,0.24817518248175183,57,1
1752074400000,2,1.4841666,1,0.0003378783419982779,1.0,0.0,0.090361446,3,1,1,0,23002.75,22917.0,1.3642384105960266,0.45695364238410596,91,1
1752080040000,3,0.889375,-1,8.693195401299633e-05,0.0,1.0,0.65909094,2,1,0,0,22926.5,23008.5,11.6,3.8,73,0
1752084780000,3,0.87354165,-1,0.0001846080337072551,0.0,1.0,0.5619048,1,1,0,0,22926.5,23026.75,1.2826086956521738,1.1304347826086956,39,0
1752087600000,3,0.8641667,-1,0.00010851871947911015,0.0,1.0,0.9259259,3,1,0,0,22926.5,23040.0,1.8333333333333333,1.5,1,0
1752088320000,3,0.8622917,-1,0.00013021398498198707,1.0,0.0,0.07042254,8,1,0,0,22926.5,23042.0,0.16666666666666666,1.0303030303030303,7,0
1752088980000,3,0.85833335,-1,9.762129445836452e-05,0.0,1.0,0.34042552,2,1,0,0,22926.5,23050.5,1.7419354838709677,1.6774193548387097,27,0
1752090600000,3,0.8520833,-1,0.00046677739060583363,1.0,0.0,0.03773585,0,1,0,0,22926.5,23055.75,0.13725490196078433,1.0392156862745099,5,0
1752091740000,3,0.8510417,-1,0.00040129281360491096,0.0,1.0,0.45348838,9,1,0,0,22926.5,23060.5,1.4893617021276595,1.1914893617021276,68,0
1752100020000,2,1.4839584,-1,7.587500135491073e-05,0.0,1.0,0.3125,2,0,0,0,22926.5,23066.0,15.0,1.0,792,0
